time,flux,flux_err,pdcsap_flux
2036.2834520761414,nan,nan,2.7859006e+05
2036.2836835649678,nan,nan,2.7885431e+05
2036.2839150533287,nan,nan,2.7872506e+05
2036.2841465421548,nan,nan,2.7870425e+05
2036.2843780309804,nan,nan,2.7869734e+05
2036.2846095198063,nan,nan,2.7870797e+05
2036.2848410081665,nan,nan,2.7829816e+05
2036.2850724969921,nan,nan,2.7891659e+05
2036.2853039858182,nan,nan,2.7850034e+05
2036.2857669630039,nan,nan,2.7883347e+05
2036.28599845183,nan,nan,2.7889188e+05
2036.28622994019,nan,nan,2.7869931e+05
2036.2864614290165,nan,nan,2.7886991e+05
2036.286692917843,nan,nan,2.7868191e+05
2036.286924406203,nan,nan,2.7904547e+05
2036.2871558950292,nan,nan,2.7889362e+05
2036.2873873838548,nan,nan,2.7892025e+05
2036.287618872215,nan,nan,2.7877203e+05
2036.287850361041,nan,nan,2.7896869e+05
2036.2880818498675,nan,nan,2.7884025e+05
2036.2883133382284,nan,nan,2.7868350e+05
2036.288544827054,nan,nan,2.7890916e+05
2036.2887763158799,nan,nan,2.7888025e+05
2036.28900780424,nan,nan,2.7850994e+05
2036.2892392930653,nan,nan,2.7871019e+05
2036.289470781891,nan,nan,2.7857219e+05
2036.2897022702518,nan,nan,2.7879200e+05
2036.2899337590775,nan,nan,2.7866166e+05
2036.2901652479036,nan,nan,2.7860834e+05
2036.2903967362636,nan,nan,2.7863444e+05
2036.2906282250894,nan,nan,2.7860944e+05
2036.2908597139158,nan,nan,2.7930672e+05
2036.2910912027423,nan,nan,2.7876844e+05
2036.2913226911028,nan,nan,2.7846688e+05
2036.2915541799284,nan,nan,2.7857150e+05
2036.2917856687543,nan,nan,2.7855081e+05
2036.2920171571145,nan,nan,2.7874222e+05
2036.292248645941,nan,nan,2.7865278e+05
2036.2924801347676,nan,nan,2.7839806e+05
2036.2927116231276,nan,nan,2.7864625e+05
2036.2929431119533,nan,nan,2.7889853e+05
2036.2931746007794,nan,nan,2.7860731e+05
2036.2934060891394,nan,nan,2.7887819e+05
2036.2936375779645,nan,nan,2.7847006e+05
2036.2938690667902,nan,nan,2.7841481e+05
2036.294100555151,nan,nan,2.7824559e+05
2036.2943320439772,nan,nan,2.7869084e+05
2036.2945635328028,nan,nan,2.7886494e+05
2036.294795021163,nan,nan,2.7845100e+05
2036.295026509989,nan,nan,2.7871138e+05
2036.2952579988155,nan,nan,2.7855653e+05
2036.2954894871764,nan,nan,2.7873531e+05
2036.295720976002,nan,nan,2.7860025e+05
2036.295952464828,nan,nan,2.7867231e+05
2036.2961839531881,nan,nan,2.7834359e+05
2036.2964154420138,nan,nan,2.7904044e+05
2036.2966469308403,nan,nan,2.7851444e+05
2036.2968784192012,nan,nan,2.7884650e+05
2036.2971099080269,nan,nan,2.7875950e+05
2036.297341396853,nan,nan,2.7865897e+05
2036.297572885213,nan,nan,2.7881138e+05
2036.2978043740382,nan,nan,2.7882188e+05
2036.2980358628638,nan,nan,2.7868059e+05
2036.2982673512247,nan,nan,2.7879756e+05
2036.2984988400508,nan,nan,2.7853206e+05
2036.2987303288764,nan,nan,2.7869253e+05
2036.2989618172367,nan,nan,2.7850747e+05
2036.2991933060625,nan,nan,2.7854916e+05
2036.2994247948882,nan,nan,2.7904559e+05
2036.299656283249,nan,nan,2.7865625e+05
2036.2998877720756,nan,nan,2.7867112e+05
2036.3001192609013,nan,nan,2.7841331e+05
2036.3003507492617,nan,nan,2.7838191e+05
2036.3005822380874,nan,nan,2.7899284e+05
2036.3008137269135,nan,nan,2.7865512e+05
2036.3010452152741,nan,nan,2.7870625e+05
2036.3012767041005,nan,nan,2.7903022e+05
2036.3015081929266,nan,nan,2.7863731e+05
2036.3017396812866,nan,nan,2.7882581e+05
2036.3019711701124,nan,nan,2.7856759e+05
2036.3022026589374,nan,nan,2.7881400e+05
2036.3024341472978,nan,nan,2.7838150e+05
2036.3026656361244,nan,nan,2.7871238e+05
2036.30289712495,nan,nan,2.7824797e+05
2036.3031286133103,nan,nan,2.7904316e+05
2036.3033601021361,nan,nan,2.7868519e+05
2036.3035915904961,nan,nan,2.7874650e+05
2036.3038230793227,nan,nan,2.7887466e+05
2036.3040545681492,nan,nan,2.7862000e+05
2036.3042860565092,nan,nan,2.7849222e+05
2036.3045175453353,nan,nan,2.7875850e+05
2036.304749034161,nan,nan,2.7876050e+05
2036.3049805225214,nan,nan,2.7892731e+05
2036.305212011347,nan,nan,2.7866519e+05
2036.3054435001736,nan,nan,2.7879244e+05
2036.3056749885345,nan,nan,2.7845284e+05
2036.3059064773602,nan,nan,2.7854316e+05
2036.306137966186,nan,nan,2.7845572e+05
2036.3063694545453,nan,nan,2.7848138e+05
2036.3066009433705,nan,nan,2.7844831e+05
2036.306832432197,nan,nan,2.7869966e+05
2036.307063920558,nan,nan,2.7869081e+05
2036.3072954093836,nan,nan,2.7873997e+05
2036.3075268982097,nan,nan,2.7862506e+05
2036.3077583865697,nan,nan,2.7880350e+05
2036.3079898753958,nan,nan,2.7850572e+05
2036.3082213642222,nan,nan,2.7877703e+05
2036.3084528525828,nan,nan,2.7845175e+05
2036.308684341409,nan,nan,2.7878850e+05
2036.3089158302346,nan,nan,2.7851500e+05
2036.3091473185948,nan,nan,2.7872894e+05
2036.3093788074207,nan,nan,2.7878553e+05
2036.3096102962472,nan,nan,2.7863231e+05
2036.3098417846081,nan,nan,2.7831553e+05
2036.3100732734338,nan,nan,2.7848059e+05
2036.310304761794,nan,nan,2.7869175e+05
2036.310536250619,nan,nan,2.7874597e+05
2036.3107677394441,nan,nan,2.7858066e+05
